0         50       
1         447      
2         482      
3         467      
4         22       
5         467      
6         447      
7         537      
8         482      
9         443      
10        444      
12        45       
13        826      
14        564      
15        455      
16        453      
17        482      
18        455      
19        491      
20        443      
21        41       
22        566      
23        451      
24        491      
25        21       
27        455      
28        451      
29        461      
30        450      
31        553      
32        482      
33        39       
34        453      
35        14       
36        554      
37        606      
38        70       
39        497      
40        45       
41        65       
42        20       
43        49       
44        7        
45        36       
47        496      
48        585      
49        482      
50        450      
51        482      
52        494      
53        57       
54        8        
55        449      
56        461      
57        37       
58        737      
59        482      
61        548      
62        491      
63        464      
64        65       
65        467      
66        451      
67        444      
68        447      
69        450      
70        482      
71        495      
72        40       
73        15       
74        547      
75        53       
76        464      
77        450      
78        486      
79        489      
81        80       
82        453      
83        482      
84        450      
85        85       
86        484      
87        450      
88        496      
89        482      
90        483      
91        538      
92        10       
93        39       
1         1        
2         1        
3         1        
5         1        
6         2        
8         1        
9         1        
10        1        
15        1        
16        1        
17        1        
18        1        
19        1        
20        1        
23        1        
24        1        
27        1        
28        1        
29        1        
30        1        
31        2        
32        1        
34        1        
37        1        
39        1        
47        1        
49        1        
50        1        
51        1        
52        1        
55        1        
56        1        
59        1        
62        1        
63        3        
65        1        
66        1        
67        1        
68        1        
69        1        
70        1        
71        1        
76        1        
77        1        
78        1        
79        1        
82        1        
83        1        
84        1        
86        1        
87        1        
88        2        
89        1        
90        1        
91        1        
0         1        
1         2        
2         1        
3         2        
4         1        
5         2        
6         3        
7         1        
8         1        
9         2        
10        2        
12        1        
13        2        
14        9        
15        2        
16        2        
17        1        
18        2        
19        1        
20        2        
21        1        
22        2        
23        2        
24        1        
25        1        
27        2        
28        2        
29        2        
30        2        
31        3        
32        1        
33        1        
34        2        
36        2        
37        2        
38        7        
39        1        
40        1        
41        1        
42        1        
43        1        
45        1        
47        2        
48        9        
49        1        
50        2        
51        1        
52        1        
53        1        
55        2        
56        2        
57        10       
58        11       
59        1        
61        1        
62        2        
63        6        
64        1        
65        2        
66        2        
67        2        
68        2        
69        2        
70        1        
71        1        
72        1        
74        1        
75        1        
76        2        
77        2        
78        1        
79        1        
81        1        
82        2        
83        1        
84        2        
85        1        
86        1        
87        2        
88        1        
89        1        
90        1        
91        5        
7         2        
13        2        
14        2        
18        1        
22        2        
24        1        
31        4        
36        2        
37        1        
39        3        
48        2        
58        2        
61        2        
63        3        
74        2        
91        6        
13        3        
31        1        
36        1        
37        4        
58        1        
91        3        
13        3        
31        2        
63        1        
91        7        
7         1        
13        3        
14        1        
21        1        
22        1        
31        1        
36        1        
37        40       
48        1        
58        1        
61        1        
63        1        
74        1        
91        3        
4         1        
18        1        
22        1        
25        1        
31        1        
36        2        
37        5        
39        6        
41        1        
58        3        
63        2        
64        1        
75        1        
78        1        
91        9        
93        1        
1         1        
2         1        
3         2        
5         2        
6         1        
8         1        
9         1        
10        1        
15        1        
16        1        
17        1        
18        1        
19        1        
20        1        
22        1        
23        1        
24        1        
27        1        
28        1        
29        1        
30        1        
31        1        
32        1        
34        1        
37        3        
39        1        
47        4        
49        1        
50        1        
51        1        
52        1        
55        1        
56        1        
58        1        
59        1        
62        1        
63        1        
65        2        
66        1        
67        1        
68        1        
69        1        
70        1        
71        1        
76        1        
77        1        
78        1        
79        1        
81        9        
82        1        
83        1        
84        1        
85        9        
86        1        
87        1        
88        5        
89        1        
90        1        
91        7        
13        4        
63        2        
75        1        
91        6        
7         3        
13        4        
14        3        
22        3        
31        1        
36        3        
48        3        
58        4        
61        3        
63        2        
74        3        
81        1        
91        3        
0         17       
1         150      
2         149      
3         166      
4         39       
5         169      
6         137      
7         445      
8         145      
9         143      
10        145      
12        52       
13        684      
14        458      
15        147      
16        152      
17        144      
18        161      
19        148      
20        145      
21        106      
22        441      
23        160      
24        160      
25        44       
27        153      
28        148      
29        143      
30        150      
31        195      
32        145      
33        41       
34        146      
35        9        
36        442      
37        261      
38        32       
39        156      
40        44       
41        33       
42        43       
43        18       
44        39       
45        41       
47        158      
48        492      
49        144      
50        142      
51        145      
52        149      
53        35       
54        39       
55        158      
56        143      
57        41       
58        539      
59        145      
61        434      
62        152      
63        174      
64        33       
65        166      
66        160      
67        142      
68        155      
69        142      
70        144      
71        149      
72        6        
73        66       
74        434      
75        81       
76        143      
77        150      
78        147      
79        148      
81        67       
82        147      
83        144      
84        142      
85        70       
86        147      
87        143      
88        161      
89        145      
90        144      
91        197      
92        35       
93        32       
0         1        
1         8        
2         8        
3         9        
4         1        
5         8        
6         10       
7         20       
8         8        
9         12       
10        8        
12        1        
13        39       
14        28       
15        8        
16        8        
17        8        
18        8        
19        9        
20        12       
21        1        
22        18       
23        8        
24        9        
25        1        
27        8        
28        10       
29        10       
30        8        
31        9        
32        8        
33        1        
34        8        
36        18       
37        8        
38        1        
39        8        
40        1        
41        2        
42        1        
43        1        
45        1        
47        8        
48        32       
49        8        
50        8        
51        8        
52        11       
53        1        
55        11       
56        10       
57        1        
58        18       
59        8        
61        19       
62        8        
63        8        
64        2        
65        8        
66        8        
67        8        
68        8        
69        8        
70        8        
71        8        
72        1        
74        18       
75        5        
76        10       
77        8        
78        10       
79        8        
81        2        
82        8        
83        8        
84        8        
85        1        
86        8        
87        11       
88        8        
89        8        
90        8        
91        13       
93        1        
1         1        
2         1        
3         1        
5         1        
6         1        
7         15       
8         1        
9         2        
10        1        
13        18       
14        15       
15        1        
16        1        
17        1        
18        1        
19        1        
20        2        
22        15       
23        2        
24        1        
27        1        
28        1        
29        1        
30        1        
31        1        
32        1        
34        1        
36        15       
37        2        
38        2        
39        1        
47        1        
48        15       
49        1        
50        1        
51        1        
52        1        
55        1        
56        1        
58        15       
59        1        
61        15       
62        1        
63        4        
65        1        
66        1        
67        4        
68        1        
69        1        
70        1        
71        1        
74        15       
76        1        
77        1        
78        1        
79        1        
82        1        
83        1        
84        1        
86        1        
87        1        
88        1        
89        1        
90        1        
91        5        
1         3        
2         2        
3         3        
5         3        
6         3        
7         18       
8         2        
9         10       
10        5        
13        25       
14        21       
15        2        
16        3        
17        2        
18        5        
19        2        
20        11       
22        18       
23        3        
24        2        
27        3        
28        6        
29        2        
30        3        
31        10       
32        2        
34        3        
36        18       
37        2        
38        2        
39        2        
47        2        
48        19       
49        2        
50        5        
51        2        
52        6        
55        5        
56        2        
58        18       
59        2        
61        18       
62        2        
63        12       
65        3        
66        2        
67        3        
68        4        
69        5        
70        2        
71        6        
73        1        
74        18       
75        1        
